;Unnamed: 0;Word;Paragraph;Stage;Idiom;Type
2601;2601;get a move on (idiom 10);588;7.0;True;verb
2602;2602;stand;588;7.0;False;verb
2603;2603;discovery;589;7.0;False;noun
2604;2604;come on;590;7.0;False;verb
2605;2605;forever;590;7.0;False;adverb
2606;2606;rested;590;7.0;False;verb
2607;2607;settle;590;7.0;False;verb
2608;2608;stir;590;7.0;False;verb
2609;2609;United Nations (UN);590;7.0;False;proper noun
2610;2610;unsettled;590;7.0;False;verb
2611;2611;brave;591;7.0;False;adjective
